new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location
1,10249,Parks,1,Tilia europaea,Lime - Common,9,3,38,Semi-mature,-0.139685,51.543638,"(51.543638, -0.139685)"
2,2737,Highways,1,Platanus x hispanica,London plane,7,5,20,Early mature,-0.125329,51.534471,"(51.534471, -0.125329)"
3,2810,Highways,1,Tilia euchlora,Lime - Caucasian,9,4,32,Mature,-0.15559,51.553976,"(51.553976, -0.15559)"
4,5123,Highways,1,Pyrus calleryana 'Chanticclere',Pear - Chanticclere,10,6,30,Semi-mature,-0.141633,51.536339,"(51.536339, -0.141633)"
5,10680,Highways,1,Tilia euchlora,Lime - Caucasian,12,5,30,Semi-mature,-0.17235,51.553793,"(51.553793, -0.17235)"
6,19709,Highways,1,Platanus x hispanica,London plane,20,12,112,Mature,-0.171537,51.551764,"(51.551764, -0.171537)"
7,5110,Highways,1,Tilia euchlora,Lime - Caucasian,7,3,28,Semi-mature,-0.154589,51.55437,"(51.55437, -0.154589)"
8,21286,Highways,1,Tilia europaea,Lime - Common,12,3,52,Mature,-0.156658,51.546051,"(51.546051, -0.156658)"
9,21596,Highways,1,Tilia euchlora,Lime - Caucasian,11,4,26,Semi-mature,-0.174566,51.552673,"(51.552673, -0.174566)"
10,16999,Parks,1,Platanus x hispanica,London plane,25,17,76,Mature,-0.130105,51.534552,"(51.534552, -0.130105)"
11,15516,Highways,1,Fraxinus excelsior,Ash,7,5,35,Semi-mature,-0.145016,51.560076,"(51.560076, -0.145016)"
12,21328,Highways,1,Prunus subhirtella 'Autumnalis',Cherry - Rosebud,5,3,8,Young,-0.140048,51.539681,"(51.539681, -0.140048)"
13,5085,Parks,1,Acer campestre,Maple - Field,5,3,9,Semi-mature,-0.134169,51.540709,"(51.540709, -0.134169)"
14,1021,Housing,1,Robinia pseudoacacia,False Acacia,16,6,32,Semi-mature,-0.134327,51.534514,"(51.534514, -0.134327)"
15,2410,Highways,1,Platanus x hispanica,London plane,17,10,72,Mature,-0.139895,51.528161,"(51.528161, -0.139895)"
16,11091,Housing,1,Sorbus aria,Whitebeam,10,6,32,Semi-mature,-0.147559,51.548529,"(51.548529, -0.147559)"
17,379,Highways,1,Betula pendula,Birch - Silver,13,3,14,Mature,-0.186808,51.543006,"(51.543006, -0.186808)"
