new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location,image_path
13,5085,Parks,1,Acer campestre,Maple - Field,5,3,9,Semi-mature,-0.134169,51.540709,"(51.540709, -0.134169)",/content/drive/MyDrive/data/sample_image/13.png
27,7019,Housing,1,Acer campestre,Maple - Field,4,4,14,Semi-mature,-0.138788,51.536495,"(51.536495, -0.138788)",/content/drive/MyDrive/data/sample_image/27.png
46,12962,Highways,1,Acer campestre,Maple - Field,9,5,22,Semi-mature,-0.139095,51.52277,"(51.52277, -0.139095)",/content/drive/MyDrive/data/sample_image/46.png
47,15981,Housing,1,Acer campestre,Maple - Field,5,3,10,Semi-mature,-0.163799,51.552135,"(51.552135, -0.163799)",/content/drive/MyDrive/data/sample_image/47.png
75,5627,Highways,1,Acer campestre,Maple - Field,10,5,21,Semi-mature,-0.135244,51.519522,"(51.519522, -0.135244)",/content/drive/MyDrive/data/sample_image/75.png
112,22237,Highways,1,Acer campestre,Maple - Field,6,3,12,Young,-0.200082,51.550788,"(51.550788, -0.200082)",/content/drive/MyDrive/data/sample_image/112.png
179,17159,Highways,1,Acer campestre,Maple - Field,8,7,29,Semi-mature,-0.176454,51.554739,"(51.554739, -0.176454)",/content/drive/MyDrive/data/sample_image/179.png
214,19304,Highways,1,Acer campestre,Maple - Field,7,4,17,Semi-mature,-0.206781,51.553677,"(51.553677, -0.206781)",/content/drive/MyDrive/data/sample_image/214.png
296,14708,Highways,1,Acer campestre,Maple - Field,8,6,22,Semi-mature,-0.139031,51.522722,"(51.522722, -0.139031)",/content/drive/MyDrive/data/sample_image/296.png
341,8292,Highways,1,Acer campestre,Maple - Field,13,6,41,Mature,-0.143756,51.530778,"(51.530778, -0.143756)",/content/drive/MyDrive/data/sample_image/341.png
356,18970,Highways,1,Acer campestre,Maple - Field,6,3,14,Semi-mature,-0.199208,51.546741,"(51.546741, -0.199208)",/content/drive/MyDrive/data/sample_image/356.png
410,7800,Housing,1,Acer campestre,Maple - Field,11,6,31,Mature,-0.198674,51.545066,"(51.545066, -0.198674)",/content/drive/MyDrive/data/sample_image/410.png
411,3394,Housing,1,Acer campestre,Maple - Field,7,4,20,Semi-mature,-0.137851,51.526143,"(51.526143, -0.137851)",/content/drive/MyDrive/data/sample_image/411.png
433,13241,Highways,1,Acer campestre,Maple - Field,8,5,27,Semi-mature,-0.2031,51.54787,"(51.54787, -0.2031)",/content/drive/MyDrive/data/sample_image/433.png
471,23218,Highways,1,Acer campestre,Maple - Field,6,5,19,Semi-mature,-0.2022,51.551169,"(51.551169, -0.2022)",/content/drive/MyDrive/data/sample_image/471.png
555,9574,Highways,1,Acer campestre,Maple - Field,9,5,22,Semi-mature,-0.123883,51.519772,"(51.519772, -0.123883)",/content/drive/MyDrive/data/sample_image/555.png
572,7197,Highways,1,Acer campestre,Maple - Field,5,4,15,Young,-0.204175,51.55392,"(51.55392, -0.204175)",/content/drive/MyDrive/data/sample_image/572.png
675,5262,Highways,1,Acer campestre,Maple - Field,9,6,25,Mature,-0.124665,51.52064,"(51.52064, -0.124665)",/content/drive/MyDrive/data/sample_image/675.png
682,16740,Highways,1,Acer campestre,Maple - Field,8,5,20,Semi-mature,-0.13644,51.521627,"(51.521627, -0.13644)",/content/drive/MyDrive/data/sample_image/682.png
834,10887,Highways,1,Acer campestre,Maple - Field,8,3,18,Semi-mature,-0.186505,51.56231,"(51.56231, -0.186505)",/content/drive/MyDrive/data/sample_image/834.png
835,13279,Highways,1,Acer campestre,Maple - Field,9,5,25,Semi-mature,-0.186514,51.556911,"(51.556911, -0.186514)",/content/drive/MyDrive/data/sample_image/835.png
836,3536,Highways,1,Acer campestre,Maple - Field,6,6,19,Semi-mature,-0.191503,51.547927,"(51.547927, -0.191503)",/content/drive/MyDrive/data/sample_image/836.png
837,7433,Highways,1,Acer campestre,Maple - Field,14,8,50,Mature,-0.141314,51.561891,"(51.561891, -0.141314)",/content/drive/MyDrive/data/sample_image/837.png
839,22355,Highways,1,Acer campestre,Maple - Field,8,5,20,Semi-mature,-0.118433,51.521661,"(51.521661, -0.118433)",/content/drive/MyDrive/data/sample_image/839.png
840,4589,Highways,1,Acer campestre,Maple - Field,10,8,25,Mature,-0.117804,51.523974,"(51.523974, -0.117804)",/content/drive/MyDrive/data/sample_image/840.png
999,29,Housing,1,Acer campestre,Maple - Field,3,1,4,Young,-0.134169,51.540709,"(51.540709, -0.134169)",/content/drive/MyDrive/data/sample_image/1001.png
1000,260,Parks,1,Acer campestre,Maple - Field,5,6,15,Semi-mature,-0.134169,51.540709,"(51.540709, -0.134169)",/content/drive/MyDrive/data/sample_image/1002.png
1001,345,Highways,1,Acer campestre,Maple - Field,5,3,16,Semi-mature,-0.134169,51.540709,"(51.540709, -0.134169)",/content/drive/MyDrive/data/sample_image/1003.png
1002,358,Housing,1,Acer campestre,Maple - Field,9,3,14,Semi-mature,-0.138788,51.536495,"(51.536495, -0.138788)",/content/drive/MyDrive/data/sample_image/1004.png
1003,444,Highways,1,Acer campestre,Maple - Field,12,10,48,Mature,-0.138788,51.536495,"(51.536495, -0.138788)",/content/drive/MyDrive/data/sample_image/1005.png
1004,607,Highways,1,Acer campestre,Maple - Field,6,3,16,Semi-mature,-0.138788,51.536495,"(51.536495, -0.138788)",/content/drive/MyDrive/data/sample_image/1006.png
1005,749,Housing,1,Acer campestre,Maple - Field,6,3,12,Semi-mature,-0.139095,51.52277,"(51.52277, -0.139095)",/content/drive/MyDrive/data/sample_image/1007.png
1006,835,Highways,1,Acer campestre,Maple - Field,7,2,21,Semi-mature,-0.139095,51.52277,"(51.52277, -0.139095)",/content/drive/MyDrive/data/sample_image/1008.png
1007,960,Highways,1,Acer campestre,Maple - Field,10,5,22,Semi-mature,-0.139095,51.52277,"(51.52277, -0.139095)",/content/drive/MyDrive/data/sample_image/1009.png
1008,984,Highways,1,Acer campestre,Maple - Field,10,5,25,Semi-mature,-0.135244,51.519522,"(51.519522, -0.135244)",/content/drive/MyDrive/data/sample_image/1014.png
1009,1015,Highways,1,Acer campestre,Maple - Field,9,7,24,Semi-mature,-0.135244,51.519522,"(51.519522, -0.135244)",/content/drive/MyDrive/data/sample_image/1015.png
1010,1087,Highways,1,Acer campestre,Maple - Field,9,6,25,Semi-mature,-0.118472,51.521734,"(51.521734, -0.118472)",/content/drive/MyDrive/data/sample_image/1016.png
1011,1172,Highways,1,Acer campestre,Maple - Field,6,5,20,Semi-mature,-0.118472,51.521734,"(51.521734, -0.118472)",/content/drive/MyDrive/data/sample_image/1018.png
1012,1205,Highways,1,Acer campestre,Maple - Field,9,5,23,Semi-mature,-0.148705,51.542796,"(51.542796, -0.148705)",/content/drive/MyDrive/data/sample_image/1019.png
1013,1210,Highways,1,Acer campestre,Maple - Field,7,4,16,Semi-mature,-0.148705,51.542796,"(51.542796, -0.148705)",/content/drive/MyDrive/data/sample_image/1021.png
1014,1304,Highways,1,Acer campestre,Maple - Field,10,8,25,Semi-mature,-0.200082,51.550788,"(51.550788, -0.200082)",/content/drive/MyDrive/data/sample_image/1023.png
1015,1313,Highways,1,Acer campestre,Maple - Field,11,5,17,Semi-mature,-0.200082,51.550788,"(51.550788, -0.200082)",/content/drive/MyDrive/data/sample_image/1024.png
1016,1363,Highways,1,Acer campestre,Maple - Field,13,8,57,Mature,-0.130389,51.549901,"(51.549901, -0.130389)",/content/drive/MyDrive/data/sample_image/1025.png
1017,1390,Highways,1,Acer campestre,Maple - Field,9,6,34,Semi-mature,-0.130389,51.549901,"(51.549901, -0.130389)",/content/drive/MyDrive/data/sample_image/1026.png
1018,1424,Highways,1,Acer campestre,Maple - Field,10,5,22,Mature,-0.130389,51.549901,"(51.549901, -0.130389)",/content/drive/MyDrive/data/sample_image/1027.png
1019,1489,Highways,1,Acer campestre,Maple - Field,6,5,18,Semi-mature,-0.176454,51.554739,"(51.554739, -0.176454)",/content/drive/MyDrive/data/sample_image/1028.png
1020,1502,Parks,1,Acer campestre,Maple - Field,3,3,12,Semi-mature,-0.176454,51.554739,"(51.554739, -0.176454)",/content/drive/MyDrive/data/sample_image/1029.png
1021,1609,Highways,1,Acer campestre,Maple - Field,7,6,24,Mature,-0.176454,51.554739,"(51.554739, -0.176454)",/content/drive/MyDrive/data/sample_image/1030.png
1022,1775,Highways,1,Acer campestre,Maple - Field,13,6,39,Mature,-0.206781,51.553677,"(51.553677, -0.206781)",/content/drive/MyDrive/data/sample_image/1032.png
1023,1791,Housing,1,Acer campestre,Maple - Field,10,6,14,Young,-0.139031,51.522722,"(51.522722, -0.139031)",/content/drive/MyDrive/data/sample_image/1034.png
1024,1893,Highways,1,Acer campestre,Maple - Field,13,5,32,Mature,-0.139031,51.522722,"(51.522722, -0.139031)",/content/drive/MyDrive/data/sample_image/1036.png
1025,2009,Parks,1,Acer campestre,Maple - Field,12,4,27,Mature,-0.143756,51.530778,"(51.530778, -0.143756)",/content/drive/MyDrive/data/sample_image/1038.png
1026,2134,Parks,1,Acer campestre,Maple - Field,9,5,16,Early mature,-0.143756,51.530778,"(51.530778, -0.143756)",/content/drive/MyDrive/data/sample_image/1039.png
1027,2206,Housing,1,Acer campestre,Maple - Field,13,7,39,Mature,-0.199208,51.546741,"(51.546741, -0.199208)",/content/drive/MyDrive/data/sample_image/1040.png
1028,2317,Highways,1,Acer campestre,Maple - Field,8,5,30,Semi-mature,-0.199208,51.546741,"(51.546741, -0.199208)",/content/drive/MyDrive/data/sample_image/1041.png
1029,2392,Highways,1,Acer campestre,Maple - Field,7,5,15,Young,-0.199208,51.546741,"(51.546741, -0.199208)",/content/drive/MyDrive/data/sample_image/1042.png
1030,2437,Highways,1,Acer campestre,Maple - Field,9,6,19,Semi-mature,-0.127581,51.544001,"(51.544001, -0.127581)",/content/drive/MyDrive/data/sample_image/1043.png
1031,2467,Highways,1,Acer campestre,Maple - Field,8,3,16,Semi-mature,-0.127581,51.544001,"(51.544001, -0.127581)",/content/drive/MyDrive/data/sample_image/1044.png
1032,2482,Housing,1,Acer campestre,Maple - Field,8,5,20,Semi-mature,-0.127581,51.544001,"(51.544001, -0.127581)",/content/drive/MyDrive/data/sample_image/1045.png
1033,2677,Housing,1,Acer campestre,Maple - Field,7,4,15,Semi-mature,-0.198674,51.545066,"(51.545066, -0.198674)",/content/drive/MyDrive/data/sample_image/1046.png
1034,2685,Highways,1,Acer campestre,Maple - Field,7,6,28,Semi-mature,-0.198674,51.545066,"(51.545066, -0.198674)",/content/drive/MyDrive/data/sample_image/1047.png
1035,2727,Highways,1,Acer campestre,Maple - Field,9,6,51,Mature,-0.198674,51.545066,"(51.545066, -0.198674)",/content/drive/MyDrive/data/sample_image/1048.png
1036,2750,Highways,1,Acer campestre,Maple - Field,9,6,21,Semi-mature,-0.137851,51.526143,"(51.526143, -0.137851)",/content/drive/MyDrive/data/sample_image/1049.png
1037,2806,Highways,1,Acer campestre,Maple - Field,12,6,43,Semi-mature,-0.137851,51.526143,"(51.526143, -0.137851)",/content/drive/MyDrive/data/sample_image/1050.png
